CENSUS_YEAR,DGUID,ALT_GEO_CODE,GEO_LEVEL,GEO_NAME,TNR_SF,TNR_LF,DATA_QUALITY_FLAG,CHARACTERISTIC_ID,CHARACTERISTIC_NAME,CHARACTERISTIC_NOTE,C1_COUNT_TOTAL,SYMBOL,C2_COUNT_MEN+,SYMBOL,C3_COUNT_WOMEN+,SYMBOL,C10_RATE_TOTAL,SYMBOL,C11_RATE_MEN+,SYMBOL,C12_RATE_WOMEN+,SYMBOL
2021,2021A000262,62,Territory,Nunavut,20.2,21.9,2020,159,"    $10,000 to $19,999",,3005,,1645,,1365,,12.7,,13.9,,11.6,
2021,2021A000262,62,Territory,Nunavut,20.2,21.9,2020,160,"    $20,000 to $29,999",,3220,,1660,,1560,,13.6,,14,,13.3,
2021,2021A000262,62,Territory,Nunavut,20.2,21.9,2020,161,"    $30,000 to $39,999",,2265,,1025,,1235,,9.6,,8.6,,10.5,
2021,2021A000262,62,Territory,Nunavut,20.2,21.9,2020,162,"    $40,000 to $49,999",,1630,,665,,970,,6.9,,5.6,,8.3,
2021,2021A000262,62,Territory,Nunavut,20.2,21.9,2020,163,"    $50,000 to $59,999",,1200,,575,,625,,5.1,,4.9,,5.3,
2021,2021A000262,62,Territory,Nunavut,20.2,21.9,2020,164,"    $60,000 to $69,999",,890,,410,,480,,3.8,,3.5,,4.1,
2021,2021A000262,62,Territory,Nunavut,20.2,21.9,2020,165,"    $70,000 to $79,999",,815,,405,,410,,3.5,,3.4,,3.5,
2021,2021A000262,62,Territory,Nunavut,20.2,21.9,2020,166,"    $80,000 to $89,999",,880,,430,,445,,3.7,,3.6,,3.8,
2021,2021A000262,62,Territory,Nunavut,20.2,21.9,2020,167,"    $90,000 to $99,999",,840,,355,,485,,3.6,,3,,4.1,
2021,2021A000262,62,Territory,Nunavut,20.2,21.9,2020,168,"    $100,000 and over",,5025,,2420,,2605,,21.3,,20.4,,22.2,
2021,2021A000262,62,Territory,Nunavut,20.2,21.9,2020,169,"      $100,000 to $149,999",,3700,,1670,,2025,,15.7,,14.1,,17.2,
2021,2021A000262,62,Territory,Nunavut,20.2,21.9,2020,170,"      $150,000 and over",,1325,,750,,575,,5.6,,6.3,,4.9,
2021,2021A000235,35,Province,Ontario,2.8,3.8,20000,159,"    $10,000 to $19,999",,1383475,,596755,,786720,,12.2,,10.9,,13.5,
